Ticks: 00000280	PC: 0207	LD	Executing instruction: 12	Next two opcodes: (1c, 20).	Register A: 1f Register BC: 0110 Register DE: c007 Register HL: 4008	Flags: ---C
Ticks: 00000284	PC: 0208	INC	Executing instruction: 1c	Next two opcodes: (20, fb).	Register A: 1f Register BC: 0110 Register DE: c007 Register HL: 4008	Flags: ---C
Ticks: 00000292	PC: 0209	JR	Executing instruction: 20	Next two opcodes: (fb, 14).	Register A: 1f Register BC: 0110 Register DE: c008 Register HL: 4008	Flags: ---C
Ticks: 00000304	PC: 0206	LD	Executing instruction: 2a	Next two opcodes: (12, 1c).	Register A: 1f Register BC: 0110 Register DE: c008 Register HL: 4009	Flags: ---C
Ticks: 00000308	PC: 0207	LD	Executing instruction: 12	Next two opcodes: (1c, 20).	Register A: 30 Register BC: 0110 Register DE: c008 Register HL: 4009	Flags: ---C
Ticks: 00000312	PC: 0208	INC	Executing instruction: 1c	Next two opcodes: (20, fb).	Register A: 30 Register BC: 0110 Register DE: c008 Register HL: 4009	Flags: ---C
Ticks: 00000320	PC: 0209	JR	Executing instruction: 20	Next two opcodes: (fb, 14).	Register A: 30 Register BC: 0110 Register DE: c009 Register HL: 4009	Flags: ---C
Ticks: 00000332	PC: 0206	LD	Executing instruction: 2a	Next two opcodes: (12, 1c).	Register A: 30 Register BC: 0110 Register DE: c009 Register HL: 400a	Flags: ---C
Ticks: 00000336	PC: 0207	LD	Executing instruction: 12	Next two opcodes: (1c, 20).	Register A: 00 Register BC: 0110 Register DE: c009 Register HL: 400a	Flags: ---C
Ticks: 00000340	PC: 0208	INC	Executing instruction: 1c	Next two opcodes: (20, fb).	Register A: 00 Register BC: 0110 Register DE: c009 Register HL: 400a	Flags: ---C
Ticks: 00000348	PC: 0209	JR	Executing instruction: 20	Next two opcodes: (fb, 14).	Register A: 00 Register BC: 0110 Register DE: c00a Register HL: 400a	Flags: ---C
Ticks: 00000360	PC: 0206	LD	Executing instruction: 2a	Next two opcodes: (12, 1c).	Register A: 00 Register BC: 0110 Register DE: c00a Register HL: 400b	Flags: ---C
Ticks: 00000364	PC: 0207	LD	Executing instruction: 12	Next two opcodes: (1c, 20).	Register A: ce Register BC: 0110 Register DE: c00a Register HL: 400b	Flags: ---C
Ticks: 00000368	PC: 0208	INC	Executing instruction: 1c	Next two opcodes: (20, fb).	Register A: ce Register BC: 0110 Register DE: c00a Register HL: 400b	Flags: ---C
Ticks: 00000376	PC: 0209	JR	Executing instruction: 20	Next two opcodes: (fb, 14).	Register A: ce Register BC: 0110 Register DE: c00b Register HL: 400b	Flags: ---C
Ticks: 00000388	PC: 0206	LD	Executing instruction: 2a	Next two opcodes: (12, 1c).	Register A: ce Register BC: 0110 Register DE: c00b Register HL: 400c	Flags: ---C
Ticks: 00000392	PC: 0207	LD	Executing instruction: 12	Next two opcodes: (1c, 20).	Register A: 01 Register BC: 0110 Register DE: c00b Register HL: 400c	Flags: ---C
Ticks: 00000396	PC: 0208	INC	Executing instruction: 1c	Next two opcodes: (20, fb).	Register A: 01 Register BC: 0110 Register DE: c00b Register HL: 400c	Flags: ---C
Ticks: 00000404	PC: 0209	JR	Executing instruction: 20	Next two opcodes: (fb, 14).	Register A: 01 Register BC: 0110 Register DE: c00c Register HL: 400c	Flags: ---C
Ticks: 00000416	PC: 0206	LD	Executing instruction: 2a	Next two opcodes: (12, 1c).	Register A: 01 Register BC: 0110 Register DE: c00c Register HL: 400d	Flags: ---C
Ticks: 00000420	PC: 0207	LD	Executing instruction: 12	Next two opcodes: (1c, 20).	Register A: d0 Register BC: 0110 Register DE: c00c Register HL: 400d	Flags: ---C
Ticks: 00000424	PC: 0208	INC	Executing instruction: 1c	Next two opcodes: (20, fb).	Register A: d0 Register BC: 0110 Register DE: c00c Register HL: 400d	Flags: ---C
